Date,Open,High,Low,Close,Adj Close,Volume
1976-02-10,15.843750,16.125000,15.812500,16.125000,5.383125,1195200
1976-02-11,16.125000,16.281250,15.953125,15.953125,5.325745,1289600
1976-02-12,15.953125,16.125000,15.781250,15.781250,5.268367,804800
1976-02-13,15.781250,15.937500,15.734375,15.875000,5.299663,921600
1976-02-17,15.875000,15.953125,15.804688,15.820313,5.281406,878400
1976-02-18,15.820313,16.078125,15.781250,15.984375,5.336175,840000
1976-02-19,16.156250,16.390625,16.156250,16.328125,5.450935,1560000
1976-02-20,16.375000,16.531250,16.375000,16.375000,5.466583,1526400
1976-02-23,16.375000,16.375000,16.187500,16.265625,5.430070,1160000
1976-02-24,16.312500,16.445313,16.312500,16.406250,5.477014,1097600
1976-02-25,16.406250,16.406250,16.187500,16.250000,5.424851,1112000
1976-02-26,16.250000,16.343750,16.000000,16.000000,5.341391,1144000
1976-02-27,16.000000,16.023438,15.781250,15.976563,5.333570,1600000
1976-03-01,15.976563,16.203125,15.890625,16.203125,5.409202,918400
1976-03-02,16.203125,16.296875,16.125000,16.203125,5.409202,972800
1976-03-03,16.203125,16.273438,16.109375,16.210938,5.411812,972800
1976-03-04,16.203125,16.203125,15.984375,16.015625,5.346608,1080000
1976-03-05,16.015625,16.093750,15.953125,16.093750,5.372690,913600
1976-03-08,16.156250,16.257813,16.156250,16.250000,5.424851,1062400
1976-03-09,16.250000,16.406250,16.171875,16.171875,5.398770,1164800
1976-03-10,16.203125,16.390625,16.203125,16.359375,5.461366,1014400
1976-03-11,16.359375,16.617188,16.359375,16.609375,5.544825,1553600
1976-03-12,16.609375,16.617188,16.328125,16.343750,5.456150,1214400
1976-03-15,16.328125,16.328125,16.156250,16.226563,5.417030,1124800
1976-03-16,16.226563,16.421875,16.187500,16.367188,5.463972,1147200
1976-03-17,16.367188,16.406250,16.125000,16.132813,5.385732,1176000
1976-03-18,16.132813,16.226563,16.062500,16.125000,5.383125,939200
1976-03-19,16.125000,16.203125,16.062500,16.171875,5.398770,896000
1976-03-22,16.171875,16.265625,16.093750,16.140625,5.388341,968000
1976-03-23,16.140625,16.375000,16.140625,16.375000,5.466583,1057600
1976-03-24,16.375000,16.570313,16.312500,16.359375,5.461366,1608000
1976-03-25,16.359375,16.406250,16.156250,16.156250,5.393554,921600
1976-03-26,16.156250,16.281250,16.125000,16.218750,5.414423,1089600
1976-03-29,16.218750,16.359375,16.203125,16.265625,5.430070,705600
1976-03-30,16.265625,16.296875,16.156250,16.265625,5.430070,912000
1976-03-31,16.281250,16.421875,16.281250,16.375000,5.466583,988800
1976-04-01,16.375000,16.484375,16.265625,16.359375,5.461366,900800
1976-04-02,16.359375,16.703125,16.296875,16.687500,5.570906,1396800
1976-04-05,16.765625,17.000000,16.765625,17.000000,5.675230,1886400
1976-04-06,17.000000,17.078125,16.843750,16.859375,5.628283,1387200
1976-04-07,16.859375,16.984375,16.750000,16.812500,5.612637,929600
1976-04-08,16.812500,16.828125,16.632813,16.765625,5.596988,1489600
1976-04-09,16.765625,16.843750,16.671875,16.742188,5.589165,1201600
1976-04-12,16.742188,16.921875,16.328125,16.351563,5.458755,2022400
1976-04-13,16.351563,16.484375,16.156250,16.468750,5.497879,2051200
1976-04-14,16.429688,16.429688,15.968750,15.968750,5.330960,1505600
1976-04-15,15.968750,16.093750,15.898438,16.031250,5.351826,1939200
1976-04-19,16.031250,16.203125,15.984375,16.195313,5.406595,1352000
1976-04-20,16.203125,16.359375,16.203125,16.328125,5.450935,1492800
1976-04-21,16.328125,16.375000,16.156250,16.281250,5.435284,1675200
1976-04-22,16.281250,16.390625,16.250000,16.250000,5.424851,1184000
